./testme 
2 
argumentSet = 2
Iteration 1: c = t, s = }re] , state = 0
Iteration 2: c = s, s = x{)]s, state = 0
Iteration 3: c = s, s = ][[(}, state = 0
Iteration 4: c = r, s = [ a[r, state = 0
Iteration 5: c = (, s = }(])[, state = 0
Iteration 6: c = (, s = }]e a, state = 0
Iteration 7: c = [, s = ar [}, state = 0
Iteration 8: c =  , s = t{}tx, state = 1
Iteration 9: c = t, s = ]xa{], state = 1
Iteration 10: c = [, s = x  [t, state = 1
Iteration 11: c =  , s = {](([, state = 1
Iteration 12: c = x, s = {a )x, state = 1
Iteration 13: c = r, s = t}[xx, state = 1
Iteration 14: c = x, s = } [e), state = 1
Iteration 15: c = ], s = t([{ , state = 1
Iteration 16: c = t, s = ]x)rr, state = 1
Iteration 17: c = ], s = ([(}), state = 1
Iteration 18: c = }, s = {}tx(, state = 1
Iteration 19: c = ), s = e)tt), state = 1
Iteration 20: c = ], s = r}rrs, state = 1
Iteration 21: c = t, s = s})x{, state = 1
Iteration 22: c =  , s = {x as, state = 1
Iteration 23: c = t, s = t{)(), state = 1
Iteration 24: c = ], s = ])xr}, state = 1
Iteration 25: c = t, s = a x{(, state = 1
Iteration 26: c =  , s = (ts]), state = 1
Iteration 27: c = {, s = [s) {, state = 1
Iteration 28: c = ), s = {atex, state = 1
Iteration 29: c = ], s = ){at[, state = 1
Iteration 30: c = [, s = saxa}, state = 1
Iteration 31: c = }, s = rr}]), state = 1
Iteration 32: c = {, s = t)[)[, state = 1
Iteration 33: c = x, s =  {ra(, state = 1
Iteration 34: c = (, s = [rx}e, state = 1
Iteration 35: c = x, s = }rss{, state = 2
Iteration 36: c = }, s = x[{[], state = 2
Iteration 37: c = s, s = ae}aa, state = 2
Iteration 38: c = }, s = rrex(, state = 2
Iteration 39: c = (, s = ] e{r, state = 2
Iteration 40: c = ), s = )xx) , state = 2
Iteration 41: c = ), s = [e]xe, state = 2
Iteration 42: c = x, s =   {r], state = 2
Iteration 43: c = ], s = aax{t, state = 2
Iteration 44: c = ], s =  r[{t, state = 2
Iteration 45: c = s, s = s] a , state = 2
Iteration 46: c = ), s = [xa]e, state = 2
Iteration 47: c = a, s =  ()xe, state = 2
Iteration 48: c = a, s =  ase}, state = 2
Iteration 49: c = e, s = xs]){, state = 2
Iteration 50: c = r, s = x[)r}, state = 2
Iteration 51: c = e, s =  ){ra, state = 2
Iteration 52: c = {, s = [) e{, state = 2
Iteration 53: c = {, s = (x}ta, state = 3
Iteration 54: c = (, s = srtrx, state = 3
Iteration 55: c = (, s = xeat}, state = 3
Iteration 56: c = e, s = ss} ], state = 3
Iteration 57: c = [, s = xer]), state = 3
Iteration 58: c = s, s = tsx}t, state = 3
Iteration 59: c = r, s = )s)rr, state = 3
Iteration 60: c = t, s = e(t  , state = 3
Iteration 61: c = x, s =  (}ra, state = 3
Iteration 62: c = (, s = rss}], state = 3
Iteration 63: c = ], s = }]]( , state = 3
Iteration 64: c = ), s = te)r], state = 3
Iteration 65: c =  , s = e})rs, state = 3
Iteration 66: c = e, s = a([es, state = 4
Iteration 67: c = ), s = srxsa, state = 4
Iteration 68: c =  , s = ]ssx(, state = 4
Iteration 69: c =  , s = {[{rr, state = 4
Iteration 70: c = s, s = {)as , state = 4
Iteration 71: c = {, s = ])}]}, state = 4
Iteration 72: c = a, s = {a{ex, state = 4
Iteration 73: c = ), s = [{x[], state = 5
Iteration 74: c = }, s =  e]x], state = 5
Iteration 75: c = x, s =  etre, state = 5
Iteration 76: c = a, s = (x() , state = 6
Iteration 77: c = ), s = [)({}, state = 6
Iteration 78: c = }, s = r}] ], state = 6
Iteration 79: c = x, s = s[{)}, state = 7
Iteration 80: c = s, s = (se[e, state = 7
Iteration 81: c = ], s = }[{)r, state = 7
Iteration 82: c = ), s = {sa [, state = 7
Iteration 83: c = e, s = sta]a, state = 8
Iteration 84: c = (, s = ( {xt, state = 8
Iteration 85: c = e, s = x[e {, state = 8
Iteration 86: c = r, s = []rax, state = 8
Iteration 87: c = ), s = trxx(, state = 8
Iteration 88: c = ], s = {()]r, state = 8
Iteration 89: c = [, s = et tx, state = 9
Iteration 90: c = a, s = st}]{, state = 9
Iteration 91: c = ], s = xa} r, state = 9
Iteration 92: c = [, s = [erx{, state = 9
Iteration 93: c = e, s = {}ss{, state = 9
Iteration 94: c = r, s = ttra[, state = 9
Iteration 95: c =  , s = r[{{], state = 9
Iteration 96: c = ), s = [{[}], state = 9
Iteration 97: c = r, s = }]]a{, state = 9
Iteration 98: c = t, s = (x}( , state = 9
Iteration 99: c = ], s = e{r]r, state = 9
Iteration 100: c = s, s = [xsxr, state = 9
Iteration 101: c = ], s = tr[ta, state = 9
Iteration 102: c = ], s = sex] , state = 9
Iteration 103: c = r, s = ]a( ), state = 9
Iteration 104: c = ), s = [)sr{, state = 9
Iteration 105: c = ), s = )xt)e, state = 9
Iteration 106: c = r, s = {s)ae, state = 9
Iteration 107: c = t, s = (es}}, state = 9
Iteration 108: c = {, s =   ]}], state = 9
Iteration 109: c =  , s = []eta, state = 9
Iteration 110: c = (, s = }[]]r, state = 9
Iteration 111: c = x, s = }[ [x, state = 9
Iteration 112: c =  , s = t}{s[, state = 9
Iteration 113: c = e, s = [x[]s, state = 9
Iteration 114: c = ], s = [(xt{, state = 9
Iteration 115: c = s, s =  ]ssx, state = 9
Iteration 116: c = r, s = }sert, state = 9
Iteration 117: c = {, s = ([eas, state = 9
Iteration 118: c = t, s = ([aas, state = 9
Iteration 119: c = x, s = (s])[, state = 9
Iteration 120: c = e, s = x )}(, state = 9
Iteration 121: c = [, s = ars(}, state = 9
Iteration 122: c = t, s = xr[ {, state = 9
Iteration 123: c = [, s = {a(re, state = 9
Iteration 124: c = t, s = ([trr, state = 9
Iteration 125: c = t, s = }aa{t, state = 9
Iteration 126: c = ], s = { a x, state = 9
Iteration 127: c = t, s = {tr{{, state = 9
Iteration 128: c = s, s = x)a} , state = 9
Iteration 129: c =  , s = )}a}a, state = 9
Iteration 130: c = [, s = ]tat(, state = 9
Iteration 131: c = x, s = )ar(), state = 9
Iteration 132: c =  , s = [s{r(, state = 9
Iteration 133: c = ), s = e](((, state = 9
Iteration 134: c = }, s = )]ts , state = 9
Iteration 135: c =  , s = [[{)[, state = 9
Iteration 136: c = x, s = trr]t, state = 9
Iteration 137: c =  , s = [[{ s, state = 9
Iteration 138: c = x, s = t]{{t, state = 9
Iteration 139: c =  , s = ]}[)}, state = 9
Iteration 140: c = x, s = t}} [, state = 9
Iteration 141: c = ], s = ]{a)t, state = 9
Iteration 142: c = a, s = t[}(x, state = 9
Iteration 143: c = a, s = ]a[e}, state = 9
Iteration 144: c = (, s = {()ae, state = 9
Iteration 145: c = [, s = es]  , state = 9
Iteration 146: c = s, s = ss[ax, state = 9
Iteration 147: c = t, s = ex( ], state = 9
